tconst,titleType,startYear,runtimeMinutes,genres,averageRating,sex_code,violence_code,profanity_code,drug_code,intense_code,final_certificate
tt0111161,movie,1994,142.0,Drama,9.3,2.0,3.0,4.0,2.0,3.0,T16
tt0468569,movie,2008,152.0,"Action,Crime,Drama",9.0,1.0,3.0,2.0,2.0,4.0,K
tt1375666,movie,2010,148.0,"Action,Adventure,Sci-Fi",8.8,1.0,3.0,2.0,2.0,3.0,T16
tt0137523,movie,1999,139.0,Drama,8.8,3.0,4.0,4.0,3.0,4.0,T16
tt0109830,movie,1994,142.0,"Drama,Romance",8.8,3.0,3.0,3.0,3.0,3.0,T13
tt0110912,movie,1994,154.0,"Crime,Drama",8.9,3.0,4.0,4.0,4.0,3.0,T18
tt0133093,movie,1999,136.0,"Action,Sci-Fi",8.7,2.0,3.0,3.0,2.0,3.0,T16
tt0120737,movie,2001,178.0,"Action,Adventure,Drama",8.8,1.0,3.0,1.0,2.0,3.0,P
tt0068646,movie,1972,175.0,"Crime,Drama",9.2,3.0,4.0,3.0,2.0,3.0,T18
tt0167260,movie,2003,201.0,"Action,Adventure,Drama",9.0,1.0,3.0,1.0,2.0,3.0,K
tt0816692,movie,2014,169.0,"Adventure,Drama,Sci-Fi",8.6,1.0,2.0,2.0,1.0,3.0,T13
tt1345836,movie,2012,164.0,"Action,Drama",8.4,2.0,3.0,2.0,2.0,3.0,T13
tt0167261,movie,2002,179.0,"Action,Adventure,Drama",8.8,1.0,3.0,1.0,2.0,3.0,P
tt0114369,movie,1995,127.0,"Crime,Drama,Mystery",8.6,2.0,4.0,4.0,2.0,4.0,T18
tt1853728,movie,2012,165.0,"Drama,Western",8.4,3.0,4.0,4.0,2.0,4.0,T16
tt0172495,movie,2000,155.0,"Action,Adventure,Drama",8.5,2.0,4.0,2.0,1.0,4.0,T18
tt0372784,movie,2005,140.0,"Action,Crime,Drama",8.2,1.0,3.0,2.0,2.0,3.0,T13
tt0361748,movie,2009,153.0,"Adventure,Drama,War",8.3,2.0,4.0,4.0,2.0,4.0,T18
tt0102926,movie,1991,118.0,"Crime,Drama,Thriller",8.6,3.0,4.0,3.0,1.0,4.0,T18
tt0993846,movie,2013,180.0,"Biography,Comedy,Crime",8.2,4.0,3.0,4.0,4.0,3.0,T16
tt0120815,movie,1998,169.0,"Drama,War",8.6,1.0,4.0,3.0,2.0,4.0,T16
tt0848228,movie,2012,143.0,"Action,Adventure,Sci-Fi",8.0,1.0,3.0,2.0,2.0,2.0,P
tt0076759,movie,1977,121.0,"Action,Adventure,Fantasy",8.6,1.0,2.0,1.0,2.0,2.0,P
tt0108052,movie,1993,195.0,"Biography,Drama,History",9.0,4.0,4.0,3.0,3.0,4.0,T16
tt0482571,movie,2006,130.0,"Drama,Mystery,Sci-Fi",8.5,2.0,3.0,2.0,2.0,3.0,T13
tt0407887,movie,2006,151.0,"Crime,Drama,Thriller",8.5,3.0,4.0,4.0,3.0,4.0,T16
tt1130884,movie,2010,138.0,"Mystery,Thriller",8.2,2.0,4.0,3.0,3.0,4.0,T13
tt0120689,movie,1999,189.0,"Crime,Drama,Fantasy",8.6,2.0,4.0,3.0,2.0,4.0,T16
tt0499549,movie,2009,162.0,"Action,Adventure,Fantasy",7.9,2.0,3.0,3.0,2.0,3.0,T13
tt0080684,movie,1980,124.0,"Action,Adventure,Fantasy",8.7,1.0,2.0,1.0,1.0,3.0,P
tt7286456,movie,2019,122.0,"Crime,Drama,Thriller",8.4,2.0,4.0,3.0,3.0,4.0,T18
tt0071562,movie,1974,202.0,"Crime,Drama",9.0,2.0,4.0,3.0,2.0,3.0,T18
tt0209144,movie,2000,113.0,"Mystery,Thriller",8.4,2.0,3.0,4.0,2.0,3.0,T18
tt0088763,movie,1985,116.0,"Adventure,Comedy,Sci-Fi",8.5,2.0,2.0,3.0,2.0,2.0,K
tt2015381,movie,2014,121.0,"Action,Adventure,Comedy",8.0,2.0,3.0,3.0,2.0,2.0,T13
tt0120338,movie,1997,194.0,"Drama,Romance",7.9,3.0,3.0,3.0,2.0,4.0,T13
tt0099685,movie,1990,145.0,"Biography,Crime,Drama",8.7,2.0,4.0,4.0,4.0,4.0,T18
tt0110413,movie,1994,110.0,"Action,Crime,Drama",8.5,2.0,4.0,3.0,3.0,3.0,T16
